,,,,,,,,data_referencia;cod_ibge;txt_municipio;mcmv_fgts_txt_uf;txt_regiao;data_assinatura_financiamento;qtd_uh_financiadas;vlr_financiamento;vlr_subsidio_desconto_fgts;vlr_subsidio_desconto_ogu;vlr_subsidio_equilíbrio_fgts;vlr_subsidio_equilíbrio_ogu;vlr_compra;vlr_renda_familiar;txt_programa_fgts;num_taxa_juros;txt_tipo_imovel;bln_cotista;txt_sistema_amortizacao;dte_nascimento;txt_compatibilidade_faixa_renda;txt_nome_empreendimento
02/05/2025;354990;São José dos Campos ;SP;Sudeste;2018-08-30;1;51231,18;0,0;0,0;9346,8;0,0;190000,0;1896,29;Carta de Crédito Individual;5,0;Usado;S;sac;1984-03-31;Faixa 2;
02/05/2025;353870;Piracicaba ;SP;Sudeste;2017-11-24;1;95580,0;24678,0;2742,0;18900,0;2100,0;152000,0;1793,0;Carta de Crédito Individual;5,0;Novo;S;price;1986-05-14;Faixa 1;
02/05/2025;355100;São Vicente ;SP;Sudeste;2022-04-18;1;50000,0;0,0;0,0;0,0;0,0;114000,0;2798,66;Carta de Crédito Individual;6,36;Usado;N;sac;1957-12-21;Faixa 2;
02/05/2025;410765;Fazenda Rio Grande ;PR;Sul;2016-03-28;1;95510,0;7307,03;1549,98;20414,690000000002;4330,389999999999;145000,0;2016,48;Carta de Crédito Individual;4,5;Novo;S;price;1990-06-11;Faixa 2;
02/05/2025;351620;Franca ;SP;Sudeste;;1;179183,68;1516,0;0,0;16055,73;0,0;225000,0;3200,0;Apoio à Produção;5,0;Novo;S;price;2001-08-30;Faixa 2;
02/05/2025;431490;Porto Alegre ;RS;Sul;2014-04-25;1;104200,0;0,0;0,0;15999,990000000002;0,0;140000,0;3200,0;Carta de Crédito Individual;6,0;Usado;N;price;;Faixa 2;
02/05/2025;315790;Santa Margarida ;MG;Sudeste;2018-08-03;1;309999,9;0,0;0,0;0,0;0,0;430000,0;11125,2;Pró-Cotista;8,66;Novo;S;sac;1982-09-27;Fora MCMV/CVA;
02/05/2025;520110;Anápolis ;GO;Centro-Oeste;2019-03-01;1;87180,49;11292,3;1254,7;18900,0;2100,0;133500,0;1700,0;Carta de Crédito Individual;5,0;Novo;S;price;1971-07-10;Faixa 2;
02/05/2025;230523;Horizonte ;CE;Nordeste;2009-10-28;1;22000,0;0,0;0,0;3928,0;0,0;22000,0;2482,07;Carta de Crédito Individual;5,5;Novo;N;price;;Faixa 2;
02/05/2025;354340;Ribeirão Preto ;SP;Sudeste;2011-03-02;1;76470,59;6036,75;2012,25;0,0;0,0;84519,59;1950,0;Carta de Crédito Individual;5,0;Novo;N;price;;Faixa 2;
02/05/2025;354340;Ribeirão Preto ;SP;Sudeste;2021-01-22;1;98036,54;27420,0;0,0;26317,309999999998;0,0;171000,0;1773,24;Apoio à Produção;4,75;Novo;S;price;1989-10-30;Faixa 1;
02/05/2025;355030;São Paulo ;SP;Sudeste;2023-02-10;1;162369,52;5168,0;0,0;3096,58;0,0;202961,91;3279,0;Apoio à Produção;5,5;Novo;S;price;1989-11-05;Faixa 2;
02/05/2025;330455;Rio de Janeiro ;RJ;Sudeste;2017-02-03;1;110000,0;3035,7;337,3;4671,51;519,06;207000,0;2932,0;Apoio à Produção;7,0;Novo;N;price;1963-12-24;Faixa 2;
02/05/2025;310400;Araxá ;MG;Sudeste;2013-10-10;1;19324,29;0,0;0,0;0,0;0,0;80000,0;3520,34;Carta de Crédito Individual;6,66;Usado;N;price;;Faixa 3;
02/05/2025;521250;Luziânia ;GO;Centro-Oeste;;1;149700,0;1037,0;0,0;0,0;0,0;190000,0;4195,52;Carta de Crédito Individual;7,0;Usado;N;price;1998-07-17;Faixa 2;
02/05/2025;431990;Sapiranga ;RS;Sul;;1;211600,0;0,0;0,0;0,0;0,0;264500,0;5179,37;Carta de Crédito Individual;;Novo;;;;Faixa 3;,
02/05/2025;355220;Sorocaba ;SP;Sudeste;2025-04-16;1;170477,66;2138,0;0,0;1586,92;0,0;215000,0;3616,12;Carta de Crédito Individual;;Novo;;;;Faixa 2;,
02/05/2025;354980;São José do Rio Preto ;SP;Sudeste;2017-11-17;1;80691,83;24678,0;2742,0;18899,99;2100,0;119990,0;1800,0;Apoio à Produção;5,0;Novo;S;price;1987-02-14;Faixa 1;
